event_name,event_date,event_city
"SPIRITUAL SELF DISCOVERY | 2 DAY RETREAT | MARKFIELD | Dec 1st - 3rd 2023",01/12/2023,"Leicester"
"Rebuilding the Ummah: Reviving Hope & Igniting Change",20/07/2024,"London"
"7 Gateways to the Quran",23/03/2024,"London"
"A Night of Remembrance (Sacred Compass)",07/04/2023,"London"
"SPIRITUAL SELF DISCOVERY | 2 DAY RETREAT | MARKFIELD | Feb 24th - 26th 2023",24/02/2023,"Leicester"
"Transforming Worship: A 3-Day Residential Retreat",31/01/2025,"Leicester"
"New Year, New Start",13/01/2024,"London"
"The Forgotten Pillar of the Deen: The Role of Visions, Khushu and Ihsaan","12/07/2025","London"
"Dreams to Destiny - Tafsir of Surah Yusuf",20/07/2025,"London"
"Spiritual Discovery: 3-Day Spring Retreat",19/04/2024,"Leicester"
"Quest For Meaning: 3-Day Summer Family Retreat",09/08/2024,"Leicester"
"2 Day Residential Spiritual Retreat |  August 2022",07/10/2022,"Leicester"
"Betrayal: The Fallacy of Fake Friends and False Hope",09/09/2023,"London"
"Summer of Family Fun & Fruition | 4 Day Residential Retreat",25/08/2023,"Leicester"
"The Two Messiahs: Sayyiduna Isa (AS) vs The Dajjal (Talks & Dinner)",25/12/2024,"London"
"Soul Space - Wokefield Residential Retreat",22/08/2025,"Reading"
"2 Day Residential Spiritual Retreat |  Autumn 2022",12/08/2022,"Leicester"
